name	titles	function	steno_name	sex	party	birthdate	web_page
Alena Páralová	Ing.	poslankyně	poslankyně alena páralová	Woman	ODS	19480101	/sqw/detail.sqw?id=406
Alexander Černý	RSDr.	poslanec	poslanec alexander černý	Man	KSČM	19530521	/sqw/detail.sqw?id=5307
Aleš Rozehnal		poslanec	poslanec aleš rozehnal	Man	ODS	19521127	/sqw/detail.sqw?id=412
Alfréd Michalík	Ing.	poslanec	poslanec alfréd michalík	Man	ČSSD	19440101	/sqw/detail.sqw?id=5317
Andrej Grega		poslanec	poslanec andrej grega	Man	ČSSD	19500912	/sqw/detail.sqw?id=362
Anna Čurdová	Mgr.	poslankyně	poslankyně anna čurdová	Woman	ČSSD	19620419	/sqw/detail.sqw?id=5263
Antonín Macháček	Ing.	poslanec	poslanec antonín macháček	Man	ČSSD	19510605	/sqw/detail.sqw?id=227
Antonín Seďa	Ing.	poslanec	poslanec antonín seďa	Man	ČSSD	19600101	/sqw/detail.sqw?id=5310
Antonín Sýkora		poslanec	poslanec antonín sýkora	Man	ČSSD	19430411	/sqw/detail.sqw?id=5319
Antonín Zralý	RSDr.	poslanec	poslanec antonín zralý	Man	KSČM	19440218	/sqw/detail.sqw?id=5304
Bohuslav Sobotka	Mgr.	místopředseda vlády a ministr financí čr	místopředseda vlády a ministr financí čr bohuslav sobotka	Man	ČSSD	19711023	/sqw/detail.sqw?id=237
Bohuslav Sobotka	Mgr.	ministr financí čr	ministr financí čr bohuslav sobotka	Man	ČSSD	19711023	/sqw/detail.sqw?id=237
Bohuslav Záruba	Mgr.	poslanec	poslanec bohuslav záruba	Man	ODS	19400419	/sqw/detail.sqw?id=431
Břetislav Petr	Ing.	poslanec	poslanec břetislav petr	Man	ČSSD	19370107	/sqw/detail.sqw?id=410
Cyril Svoboda	JUDr.	místopředseda vlády a ministr zahraničí čr	místopředseda vlády a ministr zahraničí čr cyril svoboda	Man	KDU-ČSL	19561127	/sqw/detail.sqw?id=416
Cyril Svoboda	JUDr.	ministr zahraničí čr	ministr zahraničí čr cyril svoboda	Man	KDU-ČSL	19561127	/sqw/detail.sqw?id=416
Dagmar Mocová	Ing.	poslankyně	poslankyně dagmar mocová	Woman	ČSSD	19470506	/sqw/detail.sqw?id=5387
David Šeich	Mgr.	poslanec	poslanec david šeich	Man	ODS	19761207	/sqw/detail.sqw?id=5301
Eduard Vávra	Ing.	poslanec	poslanec eduard vávra	Man	ODS	19430101	/sqw/detail.sqw?id=423
Eduard Zeman	Mgr.	poslanec	poslanec eduard zeman	Man	ČSSD	19480411	/sqw/detail.sqw?id=196
Eva Dundáčková	JUDr.	poslankyně	poslankyně eva dundáčková	Woman	ODS	19640511	/sqw/detail.sqw?id=360
Eva Nováková	Mgr.	poslankyně	poslankyně eva nováková	Woman	ČSSD	19380101	/sqw/detail.sqw?id=5254
Evžen Snítilý		poslanec	poslanec evžen snítilý	Man	ČSSD	19540502	/sqw/detail.sqw?id=236
František Beneš	CSc. Ing.	poslanec	poslanec františek beneš	Man	KSČM	19441008	/sqw/detail.sqw?id=5260
František Bublan		ministr vnitra čr	ministr vnitra čr františek bublan	Man	ČSSD	19510113	/sqw/detail.sqw?id=8260
František Koníček	Ing.	poslanec	poslanec františek koníček	Man	ČSSD	19530517	/sqw/detail.sqw?id=5395
František Pelc	RNDr.	poslanec	poslanec františek pelc	Man	US-DEU	19621004	/sqw/detail.sqw?id=5287
František Strnad	Ing.	poslanec	poslanec františek strnad	Man	ČSSD	19440207	/sqw/detail.sqw?id=5299
František Vnouček		poslanec	poslanec františek vnouček	Man	ČSSD	19450101	/sqw/detail.sqw?id=426
Hana Kordová Marvanová	JUDr.	místopředsedkyně psp	místopředsedkyně psp hana marvanová	Woman	ODS	19620101	/sqw/detail.sqw?id=100
Hana Kordová Marvanová	JUDr.	poslankyně	poslankyně hana marvanová	Woman	ODS	19620101	/sqw/detail.sqw?id=100
