name	titles	function	steno_name	sex	party	birthdate	web_page
Jan Krámek		Senátor	Senátor Jan Krámek	Man	ODS	19450101	Senátor_Jan_krámek
Jan Svoboda	MUDr.	poslanec	poslanec jan svoboda	Man	ODS	19560101	/sqw/p.sqw?p=575
Jan Vidím	Mgr.	poslanec	poslanec jan vidím	Man	ODS	19640625	/sqw/p.sqw?p=601
Jan Zahradil	Ing.	poslanec	poslanec jan zahradil	Man	ODS	19630320	/sqw/p.sqw?p=612
Jan Zapletal		Senátor	Senátor Jan Zapletal	Man	ČSSD	19450821	Senátor_Jan_Zapletal
Jan Žižka		poslanec	poslanec jan žižka	Man	ČSSD	19440101	/sqw/p.sqw?p=620
Jana Volfová	Mgr.	poslankyně	poslankyně jana volfová	Woman	ČSSD	19570101	/sqw/detail.sqw?id=427
Jarmila Boháčková		poslankyně	poslankyně jarmila boháčková	Woman	ČSSD	19470718	/sqw/p.sqw?p=430
Jaromír Císař	prof. Ing. CSc.	ministr pro místní rozvoj čr	ministr pro místní rozvoj jaromír císař	Man	ČSSD	19290101	/sqw/p.sqw?p=4960
Jaromír Císař	prof. Ing. CSc.	ministr pro místní rozvoj čr	ministr pro místní rozvoj čr jaromír císař	Man	ČSSD	19290101	/sqw/p.sqw?p=4960
Jaromír Kohlíček	CSc. Ing.	poslanec	poslanec jaromír kohlíček	Man	KSČM	19530213	/sqw/p.sqw?p=496
Jaromír Schling	Ing.	ministr dopravy a spojů čr	ministr dopravy a spojů čr jaromír schling	Man	ČSSD	19460621	/sqw/p.sqw?p=566
Jaromír Schling	Ing.	poslanec	poslanec jaromír schling	Man	ČSSD	19460621	/sqw/p.sqw?p=566
Jaromír Talíř	Ing.	poslanec	poslanec jaromír talíř	Man	KDU-ČSL	19500809	/sqw/p.sqw?p=588
Jaroslav Bašta		ministr bez portfeje čr	ministr bez portfeje čr jaroslav bašta	Man	ČSSD	19480101	/sqw/p.sqw?p=424
Jaroslav Bašta		poslanec	poslanec jaroslav bašta	Man	ČSSD	19480101	/sqw/p.sqw?p=424
Jaroslav Bureš	JUDR.	ministr spravedlnosti čr	ministr spravedlnosti čr jaroslav bureš	Man	ČSSD	19540505	/sqw/p.sqw?p=424
Jaroslav Doubrava		Senátor	Senátor Jaroslav Doubrava	Man	KSČM	19480304	Senátor_Jaroslav_Doubrava
Jaroslav Gongol	CSc. Ing.	poslanec	poslanec jaroslav gongol	Man	KSČM	19370323	/sqw/p.sqw?p=456
Jaroslav Horák		Senátor	Senátor Jaroslav Horák	Man	ODS	19320211	Senátor_Jaroslav_Horák
Jaroslav Jurečka		senátor	senátor jaroslav jurečka	Man	ODS	19430101	http://www.senat.cz/senatorijm.htm
Jaroslav Kubera		Senátor	Senátor Jaroslav Kubera	Man	ODS	19470216	Senátor_Jaroslav_Kubera
Jaroslav Kubín		Senátor	Senátor Jaroslav Kubín	Man	NOPARTY	19470101	Senátor_Jaroslav_Kubín
Jaroslav Lobkowicz	Ing.	poslanec	poslanec jaroslav lobkowicz	Man	KDU-ČSL	19420816	/sqw/p.sqw?p=519
Jaroslav Maňásek		poslanec	poslanec jaroslav maňásek	Man	ČSSD	19430101	/sqw/p.sqw?p=524
Jaroslav Melichar		poslanec	poslanec jaroslav melichar	Man	ODS	19380101	/sqw/p.sqw?p=531
Jaroslav Palas		poslanec	poslanec jaroslav palas	Man	KSČM	19520101	/sqw/p.sqw?p=543
Jaroslav Palas		poslanec	poslanec psp jaroslav palas	Man	KSČM	19520101	/sqw/p.sqw?p=543
Jaroslav Petřík		Senátor	Senátor Jaroslav Petřík	Man	KDU-ČSL	19360101	Senátor_Jaroslav_Petřík
Jaroslav Pešán	MVDr.	poslanec	poslanec jaroslav pešán	Man	ODS	19460101	/ff/0e/34/01.htm
Jaroslav Pešán	MVDr.	poslanec	poslanec jaroslav pešán	Man	ODS	19460101	/sqw/p.sqw?p=551
Jaroslav Plachý	Ing.	poslanec	poslanec jaroslav plachý	Man	ODS	19520101	/sqw/p.sqw?p=556
Jaroslav Tvrdík 		ministr obrany čr	ministr obrany čr jaroslav tvrdík	Man	ČSSD	19680101	/sqw/p.sqw?p=6190
Jaroslav Zvěřina	CSc. Doc. MUDr.	poslanec	poslanec jaroslav zvěřina	Man	ODS	19421218	/sqw/p.sqw?p=619
Jaroslav Štrait	Doc. RSDr. CSc	poslanec	poslanec jaroslav štrait	Man	KSČM	19420101	/sqw/p.sqw?p=584
Jaroslav Šula		Senátor	Senátor Jaroslav Šula	Man	4KOALICE	19480101	Senátor_Jaroslav_Šula
Jitka Kocianová		poslankyně	poslankyně jitka kocianová	Woman	ODS	19540101	/sqw/p.sqw?p=624
Jitka Kupčová	JUDr.	poslankyně	poslankyně jitka kupčová	Woman	ČSSD	19520101	/sqw/p.sqw?p=513
Jitka Seitlová		Senátorka	Senátorka Jitka Seitlová	Woman	KDU-ČSL	19540317	Senátorka_Jitka_Seitlová
Jiří Brtnický		poslanec	poslanec jiří brtnický	Man	ČSSD	19480101	/sqw/p.sqw?p=433
Jiří Brýdl		Senátor	Senátor Jiří Brýdl	Man	KDU-ČSL	19450101	Senátor_Jiří_Brýdl
Jiří Bílý		poslanec	poslanec jiří bílý	Man	ODS	19540122	/sqw/p.sqw?p=428
Jiří Drda	Ing.	poslanec	poslanec jiří drda	Man	ODS	19470101	/sqw/p.sqw?p=447
Jiří Havlíček		poslanec	jiří havlíček	Man	KDU-ČSL	19560101	/sqw/p.sqw?p=621
Jiří Havlíček		poslanec	poslanec jiří havlíček	Man	KDU-ČSL	19560101	/sqw/p.sqw?p=621
Jiří Hofman		poslanec	poslanec jiří hofman	Man	ČSSD	19500101	/sqw/p.sqw?p=466
Jiří Karas	JUDr. Ing.	poslanec	poslanec jiří karas	Man	KDU-ČSL	19420730	/sqw/p.sqw?p=488
Jiří Liška		Senátor	Senátor Jiří Liška	Man	ODS	19490512	Senátor_Jiří_Liška
Jiří Liška		Senátor	Senátor Jiří Liška 	Man	ODS	19490512	Senátor_Jiří_Liška
Jiří Maštálka	MUDr.	poslanec	poslanec jiří maštálka	Man	KSČM	19560103	/sqw/p.sqw?p=528
Jiří Papež	Ing.	poslanec	poslanec jiří papež	Man	ODS	19650920	/sqw/p.sqw?p=544
Jiří Patočka	Ing.	poslanec	poslanec jiří patočka	Man	ODS	19430521	/sqw/p.sqw?p=547
Jiří Pavlov		Senátor	Senátor Jiří Pavlov	Man	ODS	19430101	Senátor_Jiří_Pavlov
Jiří Payne		poslanec	poslanec jiří payne	Man	ODS	19560707	/sqw/p.sqw?p=549
Jiří Rusnok	Ing.	ministr financí čr	ministr financí čr jiří rusnok	Man	ČSSD	19600101	/sqw/p.sqw?p=5490
Jiří Rückl		Senátor	Senátor Jiří Rückl	Man	ODA	19400101	Senátor_Jiří_Rückl
Jiří Stodůlka		Senátor	Senátor Jiří Stodůlka	Man	KDU-ČSL	19500101	Senátor_Jiří_Stodůlka
Jiří Vlach	PhDr.	poslanec	poslanec jiří vlach	Man	ODS	19520101	/sqw/p.sqw?p=602
Jiří Vyvadil		Senátor	Senátor Jiří Vyvadil	Man	ČSSD	19540101	Senátor_Jiří_Vyvadil
Jiří Václavek	Ing.	poslanec	poslanec jiří václavek	Man	ČSSD	19420101	/ff/3c/34/01.htm
Josef Hojdar	Ing.	poslanec	poslanec josef hojdar	Man	ČSSD	19461016	/ff/bb/33/01.htm
Josef Houzák		poslanec	poslanec josef houzák	Man	KSČM	19430101	/sqw/p.sqw?p=474
Josef Jalůvka		poslanec	poslanec josef jalůvka	Man	ODS	19550101	/sqw/detail.sqw?o=3&id=373
Josef Janeček	MUDr.	poslanec	poslanec josef janeček	Man	KDU-ČSL	19521212	/sqw/p.sqw?p=480
Josef Janeček	MUDr.	poslanec	poslanec psp josef janeček	Man	KDU-ČSL	19521212	/sqw/p.sqw?p=480
Josef Jařab		Senátor	Senátor Josef Jařab	Man	ODA	19370101	Senátor_Josef_Jařab
Josef Ježek	RNDr.	poslanec	poslanec josef ježek	Man	ODS	19490101	/sqw/p.sqw?p=482
Josef Kaňa		Senátor	Senátor Josef Kaňa	Man	KDU-ČSL	19430101	Senátor_Josef_Kaňa
Josef Krejčí		poslanec	poslanec josef krejčí	Man	ODS	19470101	/sqw/p.sqw?p=507
Josef Lux		místopředseda vlády čr	místopředseda vlády čr josef lux	Man	KDU-ČSL	19560101	/sqw/p.sqw?p=520
Josef Lux		poslanec	poslanec josef lux	Man	KDU-ČSL	19560101	/sqw/p.sqw?p=520
Josef Mandík	Ing.	poslanec	poslanec josef mandík	Man	KSČM	19451204	/sqw/p.sqw?p=525
Josef Pavlata		Senátor	Senátor Josef Pavlata	Man	ODS	19490519	Senátor_Josef_Pavlata
Josef Tošovský		guvernér české národní banky	guvernér české národní banky josef tošovský	Man	NOPARTY	19500101	/sqw/p.sqw?p=57822
Josef Tošovský		guvernér české národní banky	guvernér čnb josef tošovský	Man	NOPARTY	19500101	/sqw/p.sqw?p=57822
Josef Vejvoda		poslanec	poslanec josef vejvoda	Man	ČSSD	19350101	/sqw/p.sqw?p=600
Karel Barták		Senátor	Senátor Karel Barták	Man	NOPARTY	19420101	Senátor_Karel_Barták
Karel Burda		Senátor	Senátor Karel Burda	Man	ODS	19360101	Senátor_Karel_Burda
Karel Březina	PhDr.	ministr bez portfeje čr	ministr bez portfeje čr karel březina	Man	ČSSD	19720101	/sqw/p.sqw?p=582
Karel Korytář		Senátor	Senátor Karel Korytář	Man	ČSSD	19490101	Senátor_Karel_Korytář
Karel Kühnl	JUDr.	ministr průmyslu a obchodu	ministr průmyslu a obchodu karel kühnl	Man	US-DEU	19540101	/sqw/p.sqw?p=511
Karel Kühnl	JUDr.	poslanec	poslanec karel kühnl	Man	US-DEU	19540101	/sqw/p.sqw?p=511
Karel Sehoř	Ing.	poslanec	poslanec karel sehoř	Man	ODS	19510719	/sqw/p.sqw?p=564
Karel Vymětal	Ing.	poslanec	poslanec karel vymětal	Man	KSČM	19440101	/sqw/p.sqw?p=611
Karel Černý		poslanec	poslanec karel černý	Man	ČSSD	19650101	/sqw/p.sqw?p=440
Karel Šplíchal	PhDr.	poslanec	poslanec karel šplíchal	Man	ČSSD	19461114	/sqw/p.sqw?p=582
Kateřina Dostálová		poslankyně	poslankyně kateřina dostálová	Woman	ODS	19610101	/ff/a5/33/01.htm
Květoslava Čelišová	PaedDr.	poslankyně	poslankyně květoslava čelišová	Woman	KSČM	19460411	/sqw/p.sqw?p=439
Ladislav Korbel	Ing.	poslanec	poslanec ladislav korbel	Man	US	19540101	/sqw/p.sqw?p=498
Ladislav Skopal	Ing.	poslanec	poslanec ladislav skopal	Man	ČSSD	19580925	/sqw/p.sqw?p=567
Ladislav Svoboda		Senátor	Senátor Ladislav Svoboda	Man	ČSSD	19380101	Senátor_ladislav_svoboda
Ladislav Šustr		poslanec	poslanec ladislav šustr	Man	KDU-ČSL	19440513	/sqw/p.sqw?p=586
Libor Ambrozek		poslanec	poslanec libor ambrozek	Man	KDU-ČSL	19660101	/sqw/p.sqw?p=421
Libor Ježek	Ing.	poslanec	poslanec libor ježek	Man	ODS	19610101	/sqw/p.sqw?p=481
Libor Krátký	Ing.	poslanec	poslanec libor krátký	Man	ODS	19440101	/sqw/p.sqw?p=505
Libuše Benešová		Senátorka	Senátorka Libuše Benešová	Woman	ODS	19480101	Senátorka_Libuše_Benešová
Lubomír Zaorálek		poslanec	poslanec lubomír zaorálek	Man	ČSSD	19560906	/sqw/p.sqw?p=614
Lucie Talmanová	Ing.	poslankyně	poslankyně lucie talmanová	Woman	ODS	19670827	/sqw/p.sqw?p=589
Ludmila Brynychová	Ing.	poslankyně	poslankyně ludmila brynychová	Woman	KSČM	19520101	/sqw/p.sqw?p=434
Ludmila Müllerová		poslankyně	poslankyně ludmila müllerová	Woman	KDU-ČSL	19540101	/sqw/detail.sqw?o=3&id=399
Luděk Polášek		poslanec	poslanec luděk polášek	Man	ČSSD	19470101	/sqw/p.sqw?p=558
Marek Benda		poslanec	poslanec marek benda	Man	ODS	19681110	/sqw/p.sqw?p=425
Marie Machatá	PaedDr.	poslankyně	poslankyně marie machatá	Woman	US-DEU	19540101	/sqw/p.sqw?p=523
Martin Kocourek	Ing.	poslanec	poslanec martin kocourek	Man	ODS	19661223	/sqw/p.sqw?p=494
Martin Muchka 		předseda rady pro rozhlasové a televizní vysílání	předseda rady pro rozhlasové a televizní vysílání martin muchka	Man	NOPARTY	19500101	/sqw/p.sqw?p=570000
Martin Starec		poslanec	poslanec martin starec	Man	ČSSD	19620101	/sqw/p.sqw?p=570
Michael Kuneš		poslanec	poslanec michael kuneš	Man	ČSSD	19550101	/sqw/p.sqw?p=512
Michael Kuneš		poslanec	poslanec michal kuneš	Man	ČSSD	19550101	/sqw/p.sqw?p=512
Michael Žantovský		Senátor	Senátor Michael Žantovský	Man	ODA	19490131	Senátor_Michael_Žantovský
Michaela Šojdrová	Ing.	poslankyně	poslankyně michaela šojdrová	Woman	KDU-ČSL	19631028	/sqw/p.sqw?p=579
Michal Doktor		poslanec	poslanec michal doktor	Man	ODS	19671002	/sqw/p.sqw?p=443
Michal Kraus	Ing. Mgr. MBA Ph.D.	poslanec	poslanec michal kraus	Man	ČSSD	19571001	/sqw/p.sqw?p=506
Michal Lobkowicz	RNDR.	poslanec	poslanec michal lobkowicz	Man	US	19640101	/sqw/detail.sqw?o=3&id=91
Milada Emmerová	CSc. MUDr. doc.	poslankyně	poslankyně milada emmerová	Woman	ČSSD	19440101	/sqw/p.sqw?p=533
Milan Balabán		Senátor	Senátor Milan Balabán	Man	ODS	19440101	Senátor_Milan_Balabán
Milan Cabrnoch	MUDr.	poslanec	poslanec milan cabrnoch	Man	ODS	19620101	/sqw/p.sqw?p=437
Milan Ekert	Ing.	poslanec	poslanec milan ekert	Man	ČSSD	19650302	/sqw/p.sqw?p=449
Milan Urban	Ing.	poslanec	poslanec milan urban	Man	ČSSD	19581015	/ff/3b/34/01.htm
Milan Zuna		poslanec	poslanec milan zuna	Man	ODS	19410101	/sqw/p.sqw?p=618
Milan Šimonovský		Senátor	Senátor Milan Šimonovský	Man	KDU-ČSL	19490101	Senátor_Milan_Šimonovský
Milan Štěch		Senátor	Senátor Milan Štěch	Man	ČSSD	19531113	Senátor_Milan_Štěch
Miloslav Kučera Ml.		poslanec	poslanec miloslav kučera ml.	Man	ODS	19560101	/sqw/detail.sqw?o=3&id=387
Miloslav Kučera Ml.		poslanec	poslanec miloslav kučera ml..	Man	ODS	19560101	/sqw/detail.sqw?o=3&id=387
