name	titles	function	steno_name	sex	party	birthdate	web_page
Miroslava Němcová		Poslankyně	Poslankyně Miroslava Němcová	Woman	ODS	1952-11-17	/sqw/detail.sqw?id=401
Miroslava Němcová		Předsedající	Předsedající Miroslava Němcová	Woman	ODS	1952-11-17	/sqw/detail.sqw?id=401
Martin Kolovratník	Ing.	Poslanec	Poslanec Martin Kolovratník	Man	ANO2011	1975-04-11	/sqw/detail.sqw?id=6211
Jiří Dolejš	Ing.	Poslanec	Poslanec Jiří Dolejš	Man	KSČM	1961-01-24	/sqw/detail.sqw?id=5261
Zbyněk Stanjura	Ing.	Poslanec	Poslanec Zbyněk Stanjura	Man	ODS	1964-02-15	/sqw/detail.sqw?id=5969
Jan Hamáček		Předseda PSP	Předseda PSP Jan Hamáček	Man	ČSSD	1978-11-04	/sqw/detail.sqw?id=5462
Marek Benda		Poslanec	Poslanec Marek Benda	Man	ODS	1968-11-10	/sqw/detail.sqw?id=4
Radim Fiala	Ing.	Poslanec	Poslanec Radim Fiala	Man	SPD	1969-07-24	/sqw/detail.sqw?id=5459
MUDr. Igor Nykl	MUDr.	Poslanec	Poslanec Igor Nykl	Man	ANO2011	1963-01-01	/sqw/detail.sqw?id=6174
Jaroslav Faltýnek	Ing.	Poslanec	Poslanec Jaroslav Faltýnek	Man	ANO2011	1962-04-28	/sqw/detail.sqw?id=6190
Jiří Koubek	Mgr.	Poslanec	Poslanec Jiří Koubek	Man	TOP09	1976-01-01	/sqw/detail.sqw?id=6213
Roman Sklenák	Mgr.	Poslanec	Poslanec Roman Sklenák	Man	ČSSD	1970-07-23	/sqw/detail.sqw?id=5965
Pavel Kováčik	Ing.	Poslanec	Poslanec Pavel Kováčik	Man	KSČM	1955-07-02	/sqw/detail.sqw?id=309
Daniel Korte	PhDr.	Poslanec	Poslanec Daniel Korte	Man	TOP09	1953-01-01	/sqw/detail.sqw?id=5939
Milan Štěch		Senátor	Senátor Milan Štěch	Man	ČSSD	1953-11-13	/sqw/detail.sqw?id=5596
Soňa Marková	Mgr.	Poslankyně	Poslankyně Soňa Marková	Woman	KSČM	1963-02-25	/sqw/detail.sqw?id=5290
Vojtěch Filip	JUDr.	Místopředseda PSP	Místopředseda PSP Vojtěch Filip	Man	KSČM	1955-01-13	/sqw/detail.sqw?id=303
Bohuslav Svoboda	Doc. MUDr. CSc.	Poslanec	Poslanec Bohuslav Svoboda	Man	ODS	1944-02-08	/sqw/detail.sqw?id=6007
