name	titles	function	steno_name	sex	party	birthdate	web_page
Daniela Kovářová		Ministryně spravedlnosti	Ministryně spravedlnosti Daniela Kovářová	Woman	NOPARTY	1964-01-01	Ministryně_spravedlnosti_Daniela_Kovářová
Adolf Jílek		Senátor	Senátor Adolf Jílek	Man	KDU-ČSL	1949-01-01	Senátor_Adolf_Jílek
Alena Palečková	RNDr.	senátorka	senátorka alena palečková	Woman	ODS	1947-04-28	/sqw/detail.sqw?id=5604
Alena Páralová	Ing.	poslankyně	poslankyně alena páralová	Woman	ODS	1948-08-11	/sqw/detail.sqw?id=406
Alexander Černý	RSDr.	poslanec	poslanec alexander černý	Man	KSČM	1953-05-21	/sqw/detail.sqw?id=5307
Alexandr Vondra		Ministr	Ministr Alexandr Vondra	Man	ODS	1961-08-17	Ministr_Alexandr_Vondra
Alexandr Vondra		Místopředseda vlády ČR	Místopředseda vlády ČR Alexandr Vondra	Man	ODS	1961-08-17	Místopředseda_vlády_ČR_Alexandr_Vondra
Alexandr Vondra	RNDr. 	ministr zahraničních věcí čr	ministr zahraničních věcí čr alexandr vondra	Man	ODS	1961-08-17	http://www.vlada.cz/scripts/detail.php?id=18693
Alexandr Vondra	RNDr. 	místopředseda vlády čr	místopředseda vlády čr alexandr vondra	Man	ODS	1961-08-17	http://www.vlada.cz/scripts/detail.php?id=18693
Aleš Rádl	Mgr.	poslanec	poslanec aleš rádl	Man	ODS	1966-04-13	/sqw/detail.sqw?id=5495
Aleš Řebíček	Ing.	ministr dopravy čr	ministr dopravy čr aleš řebíček	Man	ODS	1967-04-14	/sqw/detail.sqw?id=5500
Alfréd Michalík	Ing.	poslanec	poslanec alfréd michalík	Man	ČSSD	1944-08-25	/sqw/detail.sqw?id=5317
Anna Čurdová	Mgr.	poslankyně	poslankyně anna čurdová	Woman	ČSSD	1962-04-19	/sqw/detail.sqw?id=5263
Antonín Seďa	Ing.	poslanec	poslanec antonín seďa	Man	ČSSD	1960-12-12	/sqw/detail.sqw?id=5310
Bohuslav Sobotka	Mgr.	místopředseda vlády a ministr financí čr	místopředseda vlády a ministr financí čr bohuslav sobotka	Man	ČSSD	1971-10-23	/sqw/detail.sqw?id=237
Bohuslav Sobotka	Mgr.	poslanec	poslanec bohuslav sobotka	Man	ČSSD	1971-10-23	/sqw/detail.sqw?id=237
Boris Šťastný	MUDr.	poslanec	poslanec boris šťastný	Man	ODS	1970-04-08	/sqw/detail.sqw?id=5512
Břetislav Petr	Ing.	poslanec	poslanec břetislav petr	Man	ČSSD	1937-01-07	/sqw/detail.sqw?id=410
Cyril Svoboda	JUDr.	ministr pro místní rozvoj čr	ministr pro místní rozvoj čr cyril svoboda	Man	KDU-ČSL	1956-11-24	/sqw/detail.sqw?id=416
Cyril Svoboda	JUDr.	ministr vlády čr	ministr vlády čr cyril svoboda	Man	KDU-ČSL	1956-11-24	/sqw/detail.sqw?id=416
