name	titles	function	steno_name	sex	party	birthdate	web_page
Alena Svobodová	Doc.PhDr. CSc.	poslankyně	poslankyně alena svobodová	Woman	KSČM	19480104	poslankyně_alena_svobodová
Andrej Gjurič	PhDr.	poslanec	poslanec andrej gjurič	Man	ODS	19381129	poslanec_andrej_gjurič
Anna Röschová		poslankyně	poslankyně anna röschová	Woman	US	19450526	poslankyně_anna_röschová
Anton Zima		poslanec	poslanec anton zima	Man	US	19461007	poslanec_anton_zima
Antonín Macháček	Ing.	poslanec	poslanec antonín macháček	Man	ČSSD	19510605	poslanec_antonín_macháček
Bohuslav Sobotka	Mgr.	poslanec	poslanec bohuslav sobotka	Man	ČSSD	19711023	poslanec_bohuslav_sobotka
Cyril Svoboda	PhD.	ministr vnitra	ministr vnitra cyril svoboda	Man	ČSSD	19561124	ministr_vnitra_cyril_svoboda
Cyril Svoboda	PhD.	ministr vnitra	ministr vnitra čr cyril svoboda	Man	ČSSD	19561124	ministr_vnitra_čr_cyril_svoboda
Dalibor Matulka		poslanec	poslanec dalibor matulka	Man	KSČM	19530101	poslanec_dalibor_matulka
Dalibor Matulka		poslanec	poslanec dalibor matulka;	Man	KSČM	19530101	poslanec_dalibor_matulka;
Daniel Kroupa		poslanec	poslanec daniel kroupa	Man	ODA	19490106	poslanec_daniel_kroupa
Drahoslava Bartošková		poslankyně	poslankyně drahoslava bartošková	Woman	ODS	19450902	poslankyně_drahoslava_bartošková
Dušan Kulka		poslanec	poslanec dušan kulka	Man	ODA	19620521	poslanec_dušan_kulka
Dušan Navrátil		poslanec	poslanec dušan navrátil	Man	ODA	19650702	poslanec_dušan_navrátil
Dušan Tešnar		poslanec	poslanec dušan tešnar	Man	ČSSD	19450101	poslanec_dušan_tešnar
Eduard Bureš	MUDr.	poslanec	poslanec eduard bureš	Man	ODS	19420224	poslanec_eduard_bureš
Eduard Zeman		poslanec	poslanec eduard zeman	Man	ČSSD	19480411	poslanec_eduard_zeman
Eva Fischerová		poslankyně	poslankyně eva fischerová	Woman	ČSSD	19350208	poslankyně_eva_fischerová
Eva Fischerová		poslankyně	poslankyně eva fischerová;	Woman	ČSSD	19350208	poslankyně_eva_fischerová;
Evžen Snítilý		poslanec	poslanec evžen snítilý	Man	ČSSD	19540502	poslanec_evžen_snítilý
František Brožík		poslanec	poslanec františek brožík	Man	ČSSD	19550101	poslanec_františek_brožík
František Chobot		poslanec	poslanec františek chobot	Man	ČSSD	19390219	poslanec_františek_chobot
František Kozel	PhDr.	poslanec	poslanec františek kozel	Man	ODS	19440314	poslanec_františek_kozel
František Novák		poslanec	poslanec františek novák	Man	ODS	19460308	poslanec_františek_novák
František Čech		poslanec	poslanec františek čech	Man	ČSSD	19430709	poslanec_františek_čech
František Šnajdauf		poslanec	poslanec františek šnajdauf	Man	ODS	19540205	poslanec_františek_šnajdauf
František Španbauer		poslanec	poslanec františek španbauer	Man	ČSSD	19460618	poslanec_františek_španbauer
Hana Marvanová	JUDr.	poslankyně	poslankyně hana marvanová	Woman	US-DEU	19661126	poslankyně_hana_marvanová
Hana Orgoníková		poslankyně	poslankyně hana orgoníková	Woman	ČSSD	19461208	poslankyně_hana_orgoníková
Hana Škorpilová		poslankyně	poslankyně hana škorpilová	Woman	KSČM	19401101	poslankyně_hana_škorpilová
Igor Němec		poslanec	poslanec igor němec	Man	ODS	19590406	poslanec_igor_němec
Ivan Kočárník	Ing. CSc	místopředseda vlády a ministr financí	místopředseda vlády a ministr financí čr ivan kočárník	Man	ODS	19461129	místopředseda_vlády_a_ministr_financí_čr_ivan_kočárník
Ivan Kočárník	Ing. CSc	místopředseda vlády	místopředseda vlády čr ivan kočárník	Man	ODS	19461129	místopředseda_vlády_čr_ivan_kočárník
Ivan Kočárník	Ing. CSc	poslanec	poslanec ivan kočárník	Man	ODS	19461129	poslanec_ivan_kočárník
Ivan Langer	MUDr. Mgr. 	poslanec	poslanec ivan langer	Man	ODS	19670101	poslanec_ivan_langer
Ivan Langer	MUDr. Mgr. 	poslanec	poslanec ivan langer.	Man	ODS	19670101	poslanec_ivan_langer.
Ivan Mašek		poslanec	poslanec ivan mašek	Man	ODA	19480728	poslanec_ivan_mašek
Ivan Pilip		ministr financi	ministr financi čr ivan pilip	Man	ODS	19630804	ministr_financi_čr_ivan_pilip
Ivan Pilip		ministr financí	ministr financí ivan pilip	Man	ODS	19630804	ministr_financí_ivan_pilip
Ivan Pilip		ministr financí	ministr financí čr ivan pilip	Man	ODS	19630804	ministr_financí_ivan_pilip
Ivan Pilip		ministr školství mládeže a tělovýchovy	ministr školství mládeže a tělovýchovy čr ivan pilip	Man	ODS	19630804	ministr_školství_mládeže_a_tělovýchovy_čr_ivan_pilip
Ivan Vrzal		poslanec	poslanec ivan vrzal	Man	ODS	19670429	poslanec_ivan_vrzal
Ivana Plechatá		poslankyně	poslankyně ivana plechatá	Woman	ODS	19650909	poslankyně_ivana_plechatá
Jan Bláha		poslanec	poslanec jan bláha	Man	ČSSD	19550317	poslanec_jan_bláha
Jan Grůza		poslanec	poslanec jan grůza	Man	KDU-ČSL	19571103	poslanec_jan_grůza
Jan Kalvoda		místopředseda vlády a ministr spravedlnosti	místopředseda vlády a ministr spravedlnosti čr jan kalvoda	Man	ODA	19530330	místopředseda_vlády_a_ministr_spravedlnosti_čr_jan_kalvoda
Jan Kalvoda		místopředseda vlády	místopředseda vlády čr jan kalvoda	Man	ODA	19530330	místopředseda_vlády_čr_jan_kalvoda
Jan Kasal		místopředseda psp	místopředseda psp jan kasal	Man	KDU-ČSL	19511106	místopředseda_psp_jan_kasal
Jan Kasal		místopředseda psp	místopředseda psp jan kasal;	Man	KDU-ČSL	19511106	místopředseda_psp_jan_kasal;
Jan Kasal		místopředseda psp	místopředseda. psp jan kasal	Man	KDU-ČSL	19511106	místopředseda._psp_jan_kasal
Jan Klas	Ing.	poslanec	poslanec jan klas	Man	ODS	19580403	poslanec_jan_klas
Jan Kostrhun		poslanec	poslanec jan kostrhun	Man	ČSSD	19420703	poslanec_jan_kostrhun
