name	titles	function	steno_name	sex	party	birthdate	web_page
František Brožík		poslanec	poslanec františek brožík	Man	ČSSD	19550101	poslanec_františek_brožík
František Kačenka		poslanec	poslanec františek kačenka	Man	HSD-SMS	19480404	poslanec_františek_kačenka
František Kozel	PhDr.	poslanec	poslanec františek kozel	Man	ODS	19440314	poslanec_františek_kozel
František Pluhař		poslanec	poslanec františek pluhař	Man	ODS	19370211	poslanec_františek_pluhař
František Trnka		poslanec	poslanec františek trnka	Man	LSU	19310319	poslanec_františek_trnka
Gerta Mazalová		poslankyně	poslankyně gerta mazalová	Woman	HSD-SMS	19450210	poslankyně_gerta_mazalová
Hana Lagová		poslankyně	poslankyně hana lagová	Woman	KSČM	19410721	poslankyně_hana_lagová
Hana Marvanová	JUDr.	poslankyně	poslankyně hana marvanová	Woman	US-DEU	19661126	poslankyně_hana_marvanová
Hana Orgoníková		poslankyně	poslankyně hana orgoníková	Woman	ČSSD	19462108	poslankyně_hana_orgoníková
Hana Tomanová		poslankyně	poslankyně hana tomanová	Woman	ODS	19370118	poslankyně_hana_tomanová
Igor Němec		ministr	ministr igor němec	Man	ODS	19590416	ministr_igor_němec
Igor Němec		ministr státní kontroly	ministr státní kontroly igor němec	Man	ODS	19590416	ministr_státní_kontroly_igor_němec
Igor Němec		ministr státní kontroly čr	ministr státní kontroly čr igor němec	Man	ODS	19590416	ministr_státní_kontroly_čr_igor_němec
Igor Němec		ministr vlády české republiky	ministr vlády české republiky igor němec	Man	ODS	19590416	ministr_vlády_české_republiky_igor_němec
Igor Němec		ministr vlády čr	ministr vlády čr igor němec	Man	ODS	19590416	ministr_vlády_čr_igor_němec
Ivan Bečvář		poslanec	poslanec ivan bečvář	Man	ODS	19340119	poslanec_ivan_bečvář
Ivan Kočárník		místopředseda vlády a ministr financí	místopředseda vlády a ministr financí ivan kočárník	Man	ODS	19441129	místopředseda_vlády_a_ministr_financí_ivan_kočárník
Ivan Kočárník		místopředseda vlády čr a ministr financí	místopředseda vlády čr a ministr financí ivan kočárník	Man	ODS	19441129	místopředseda_vlády_čr_a_ministr_financí_ivan_kočárník
Ivan Kočárník	Ing. CSc	místopředseda vlády a ministr financí čr	místopředseda vlády a ministr financí čr ivan kočárník	Man	ODS	19461129	místopředseda_vlády_a_ministr_financí_čr_ivan_kočárník
Ivan Kočárník	Ing. CSc	místopředseda vlády čr	místopředseda vlády čr ivan kočárník	Man	ODS	19461129	místopředseda_vlády_čr_ivan_kočárník
Ivan Mašek		poslanec	poslanec ivan mašek	Man	ODA	19480728	poslanec_ivan_mašek
Ivan Mašek		poslanec psp	poslanec psp ivan mašek	Man	ODA	19480728	poslanec_psp_ivan_mašek
Ivan Pilip		ministr školství mládeže a tělovýchovy čr	ministr školství mládeže a tělovýchovy čr ivan pilip	Man	KDS	19630804	ministr_školství_mládeže_a_tělovýchovy_čr_ivan_pilip
Ivan Vrzal		poslanec	poslanec ivan vrzal	Man	ODS	19670429	poslanec_ivan_vrzal
Ivana Janů		poslankyně	poslankyně ivana janů	Woman	KDU-ČSL	19460314	poslankyně_ivana_janů
Jan Bláha		poslanec	poslanec jan bláha	Man	ČSSD	19550317	poslanec_jan_bláha
Jan Decker		poslanec	poslanec jan decker	Man	KDU-ČSL	19610101	poslanec_jan_decker
Jan Jegla		poslanec	poslanec jan jegla	Man	HSD-SMS	19441217	poslanec_jan_jegla
Jan Kalvoda		místopředseda vlády čr	místopředseda vlády čr jan kalvoda	Man	ODA	19530330	místopředseda_vlády_čr_jan_kalvoda
Jan Kasal		místopředseda psp	místopředseda psp jan kasal	Man	KDU-ČSL	19511106	místopředseda_psp_jan_kasal
Jan Kasal		místopředseda psp	místopředseda psp jan kasal 	Man	KDU-ČSL	19511106	místopředseda_psp_jan_kasal_
Jan Klas	Ing.	poslanec	poslanec jan klas	Man	ODS	19580403	poslanec_jan_klas
Jan Koucký		poslanec	poslanec jan koucký	Man	ODS	19530323	poslanec_jan_koucký
Jan Kryčer		poslanec	poslanec jan kryčer	Man	HSD-SMS	19551116	poslanec_jan_kryčer
Jan Krámek		poslanec	poslanec jan krámek	Man	ODS	19451118	poslanec_jan_krámek
Jan Litomiský		poslanec	poslanec jan litomiský	Man	KDS	19430919	poslanec_jan_litomiský
Jan Navrátil		poslanec	poslanec jan navrátil	Man	KSČM	19551101	poslanec_jan_navrátil
Jan Ruml		ministr vnitra	ministr vnitra jan ruml	Man	ODS	19530305	ministr_vnitra_jan_ruml
Jan Ruml	Ing. PhD.	ministr vnitra čr	ministr vnitra čr jan ruml	Man	ODS	19530305	ministr_vnitra_čr_jan_ruml
Jan Stráský		ministr dopravy čr	ministr dopravy čr jan stráský	Man	ODS	19401224	ministr_dopravy_čr_jan_stráský
Jan Stráský		ministr zdravotnictví čr	ministr zdravotnictví čr jan stráský	Man	ODS	19401224	ministr_zdravotnictví_čr_jan_stráský
Jan Třebický		poslanec	poslanec jan třebický	Man	ODS	19431209	poslanec_jan_třebický
Jan Vik		poslanec	poslanec jan vik	Man	SPR-RSČ	19690407	poslanec_jan_vik
Jan Vraný		poslanec	poslanec jan vraný	Man	LSU	19460621	poslanec_jan_vraný
Jan Zahradníček		poslanec	poslanec jan zahradníček	Man	KDS	19480531	poslanec_jan_zahradníček
Jan Černý	MVDr.	poslanec	poslanec jan černý	Man	KDU-ČSL	19590423	poslanec_jan_černý
Jaromír Kalus		poslanec	poslanec jaromír kalus	Man	ODS	19471227	poslanec_jaromír_kalus
Jaromír Šimánek		poslanec	poslanec jaromír šimánek	Man	ODS	19590105	poslanec_jaromír_šimánek
Jaroslav Broulík		poslanec	poslanec jaroslav broulík	Man	HSD-SMS	19500626	poslanec_jaroslav_broulík
Jaroslav Matějka		poslanec	poslanec jaroslav matějka	Man	KSČM	19401217	poslanec_jaroslav_matějka
Jaroslav Melichar		poslanec	poslanec jaroslav melichar	Man	ODS	19380101	poslanec_jaroslav_melichar
Jaroslav Novák		poslanec	poslanec jaroslav novák	Man	SPR-RSČ	19351218	poslanec_jaroslav_novák
Jaroslav Ortman		poslanec	poslanec jaroslav ortman	Man	KSČM	19520929	poslanec_jaroslav_ortman
Jaroslav Palas		poslanec	poslanec jaroslav palas	Man	KSČM	19521002	poslanec_jaroslav_palas
Jaroslav Soural		poslanec	poslanec jaroslav soural	Man	KSČM	19530402	poslanec_jaroslav_soural
Jaroslav Sýkora		poslanec	poslanec jaroslav sýkora	Man	LSU	19320413	poslanec_jaroslav_sýkora
Jaroslav Unger		poslanec	poslanec jaroslav unger	Man	SPR-RSČ	19591218	poslanec_jaroslav_unger
Jaroslav Vlček		poslanec	poslanec jaroslav vlček	Man	ČSSD	19520918	poslanec_jaroslav_vlček
Jaroslav Vlček.		poslanec	poslanec jaroslav vlček.	Man	ČSSD	19520918	poslanec_jaroslav_vlček.
Jaroslav Štrait		poslanec	poslanec jaroslav štrait	Man	KSČM	19420729	poslanec_jaroslav_štrait
Jaroslav Žižka		poslanec	poslanec jaroslav žižka	Man	KSČM	19510413	poslanec_jaroslav_žižka
Jindřich Kabát		ministr kultury čr	ministr kultury čr jindřich kabát	Man	KDU-ČSL	19530324	ministr_kultury_čr_jindřich_kabát
Jindřich Němčík		poslanec	poslanec jindřich němčík	Man	ODS	19490711	poslanec_jindřich_němčík
Jindřich Vodička		ministr práce a sociálních věcí čr	ministr práce a sociálních věcí čr jindřich vodička	Man	ODS	19520722	ministr_práce_a_sociálních_věcí_čr_jindřich_vodička
Jiřina Pavlíková		poslankyně	poslankyně jiřina pavlíková	Woman	ODS	19530215	poslankyně_jiřina_pavlíková
Jiří Bílý		poslanec	poslanec jiří bílý	Man	ODS	19540122	poslanec_jiří_bílý
Jiří Drápela		poslanec	poslanec jiří drápela	Man	LSU	19461106	poslanec_jiří_drápela
Jiří Faifr		poslanec	poslanec jiří faifr	Man	ČSSD	19621012	poslanec_jiří_faifr
Jiří Honajzer		poslanec	poslanec jiří honajzer	Man	ODS	19550918	poslanec_jiří_honajzer
Jiří Hájek		poslanec	poslanec jiří hájek	Man	KSČM	19510730	poslanec_jiří_hájek
Jiří Karas	JUDr. Ing.	poslanec	poslanec jiří karas	Man	KDU-ČSL	19420730	poslanec_jiří_karas
Jiří Machalík		poslanec	poslanec jiří machalík	Man	KDU-ČSL	19450619	poslanec_jiří_machalík
Jiří Macháček		poslanec	poslanec jiří macháček	Man	KDU-ČSL	19450619	poslanec_jiří_macháček
Jiří Macháček		poslanec	poslanec jiří macháček: v	Man	KDU-ČSL	19450619	poslanec_jiří_macháček:_v
Jiří Maryt		poslanec	poslanec jiří maryt	Man	KSČM	19640213	poslanec_jiří_maryt
Jiří Novák		ministr spravedlnosti	ministr spravedlnosti jiří novák	Man	ODS	19500412	ministr_spravedlnosti_jiří_novák
Jiří Novák		ministr spravedlnosti čr	ministr spravedlnosti čr jiří novák	Man	ODS	19500412	ministr_spravedlnosti_čr_jiří_novák
Jiří Payne		poslanec	poslanec jiří payne	Man	ODS	19560707	poslanec_jiří_payne
Jiří Skalický		ministr pro správu národního majetku a jeho privatizaci	ministr pro správu národního majetku a jeho privatizaci jiří skalický	Man	ODA	19560426	ministr_pro_správu_národního_majetku_a_jeho_privatizaci_jiří_skalický
Jiří Skalický		ministr pro správu národního majetku a jeho privatizaci čr	ministr pro správu národního majetku a jeho privatizaci čr jiří skalický	Man	ODA	19560426	ministr_pro_správu_národního_majetku_a_jeho_privatizaci_čr_jiří_skalický
Jiří Uřičář		poslanec	poslanec jiří uřičář	Man	KDU-ČSL	19480825	poslanec_jiří_uřičář
Jiří Vačkář		poslanec	poslanec jiří vačkář	Man	LSU	19440216	poslanec_jiří_vačkář
Jiří Vlach		místopředseda psp	místopředseda psp jiří vlach	Man	ODS	19520101	místopředseda_psp_jiří_vlach
Jiří Vlach		místopředseda psp	místopředseda psp jiří vlach: i	Man	ODS	19520101	místopředseda_psp_jiří_vlach:_i
Jiří Vlach.		místopředseda psp	místopředseda psp jiří vlach.	Man	ODS	19520101	místopředseda_psp_jiří_vlach.
Jiří Vyvadil		poslanec	poslanec jiří vyvadil	Man	ČSSD	19540802	poslanec_jiří_vyvadil
Jiří Vyvadil		poslanec	poslanec jiří vyvadil (z místa)	Man	ČSSD	19540802	poslanec_jiří_vyvadil_(z_místa)
Jiří Šetina		generální prokurátor	generální prokurátor jiří šetina	Man	NOPARTY	19320101	generální_prokurátor_jiří_šetina
Jiří Šetina		generální prokurátor čr	generální prokurátor čr jiří šetina	Man	NOPARTY	19320101	generální_prokurátor_čr_jiří_šetina
Jiří Šoler		poslanec	poslanec jiří šoler	Man	SPR-RSČ	19470420	poslanec_jiří_šoler
Josef Bejček		poslanec	poslanec josef bejček	Man	ODS	19350303	poslanec_josef_bejček
Josef Effenberger		poslanec	poslanec josef effenberger	Man	LDS	19341120	poslanec_josef_effenberger
Josef Holub		poslanec	poslanec josef holub	Man	ODS	19510912	poslanec_josef_holub
Josef Hurta		poslanec	poslanec josef hurta	Man	KSČM	19360224	poslanec_josef_hurta
Josef Hájek		poslanec	poslanec josef hájek	Man	KSČM	19450107	poslanec_josef_hájek
Josef Janeček		poslanec	poslanec josef janeček	Man	KDU-ČSL	19521212	poslanec_josef_janeček
Josef Ježek		poslanec	poslanec josef ježek	Man	ODS	19491209	poslanec_josef_ježek
Josef Kubiš		poslanec	poslanec josef kubiš	Man	KDU-ČSL	19431014	poslanec_josef_kubiš
Josef Křížek		poslanec	poslanec josef křížek	Man	LSU	19380824	poslanec_josef_křížek
Josef Lux		místopředseda vlády a ministr financí čr	místopředseda vlády a ministr financí čr josef lux	Man	ČSL	19560201	místopředseda_vlády_a_ministr_financí_čr_josef_lux
Josef Lux		místopředseda vlády a ministr zemědělství čr	místopředseda vlády a ministr zemědělství čr josef lux	Man	KDU-ČSL	19560201	místopředseda_vlády_a_ministr_zemědělství_čr_josef_lux
Josef Lux		místopředseda vlády a zemědělství financí čr	místopředseda vlády a zemědělství financí čr josef lux	Man	ČSL	19560201	místopředseda_vlády_a_zemědělství_financí_čr_josef_lux
Josef Lux		místopředseda vlády čr	místopředseda vlády čr josef lux	Man	KDU-ČSL	19560201	místopředseda_vlády_čr_josef_lux
Josef Mandík		poslanec	poslanec josef mandík	Man	KSČM	19451204	poslanec_josef_mandík
Josef Pavela		poslanec	poslanec josef pavela	Man	KDU-ČSL	19330625	poslanec_josef_pavela
Josef Tošovský		guvernér české národní banky	guvernér české národní banky josef tošovský	Man	NOPARTY	19500828	guvernér_české_národní_banky_josef_tošovský
Josef Tošovský		guvernér čnb	guvernér čnb josef tošovský	Man	NOPARTY	19500828	guvernér_čnb_josef_tošovský
Josef Ullmann		poslanec	poslanec josef ullmann	Man	ODS	19440327	poslanec_josef_ullmann
Josef Valenta		poslanec	poslanec josef valenta	Man	SPR-RSČ	19510605	poslanec_josef_valenta
Josef Zieleniec		ministr zahraničních vztahů čr	ministr zahraničních vztahů čr josef zieleniec	Man	ODS	19460424	ministr_zahraničních_vztahů_čr_josef_zieleniec
Josef Zieleniec		ministr zahraničních věcí čr	ministr zahraničních věcí čr josef zieleniec	Man	ODS	19460424	ministr_zahraničních_věcí_čr_josef_zieleniec
Josef Červinka		poslanec	poslanec josef červinka	Man	ODS	19510921	poslanec_josef_červinka
Jozef Wagner		poslanec	poslanec jozef wagner	Man	ČSSD	19400830	poslanec_jozef_wagner
Karel Dyba		ministr hospodářství	ministr hospodářství karel dyba	Man	ODS	19401021	ministr_hospodářství_karel_dyba
Karel Dyba		ministr hospodářství čr	ministr hospodářství čr karel dyba	Man	ODS	19401021	ministr_hospodářství_čr_karel_dyba
Karel Hrdý		poslanec	poslanec karel hrdý	Man	ČSSD	19420907	poslanec_karel_hrdý
Karel Ledvinka		místopředseda psp	místopředseda psp karel ledvinka	Man	ODA	19410418	místopředseda_psp_karel_ledvinka
Karel Ledvinka		místopředseda psp	místopředseda psp karel ledvinka 	Man	ODA	19410418	místopředseda_psp_karel_ledvinka_
Karel Ledvinka.		místopředseda psp	místopředseda psp karel ledvinka.	Man	ODA	19410418	místopředseda_psp_karel_ledvinka.
Karel Mach		poslanec	poslanec karel mach	Man	KDU-ČSL	19600617	poslanec_karel_mach
Kateřina Lojdová		poslankyně	poslankyně kateřina lojdová	Woman	ODS	19610302	poslankyně_kateřina_lojdová
Květoslava Čelišová	PaedDr.	poslankyně	poslankyně květoslava čelišová	Woman	KSČM	19460411	poslankyně_květoslava_čelišová
Ladislav Blažek		poslanec	poslanec ladislav blažek	Man	ODS	19500223	poslanec_ladislav_blažek
Ladislav Body		poslanec	poslanec ladislav body	Man	KSČM	19490502	poslanec_ladislav_body
Ladislav Nedorost		poslanec	poslanec ladislav nedorost	Man	SPR-RSČ	19641028	poslanec_ladislav_nedorost
Ladislav Rymeš		poslanec	poslanec ladislav rymeš	Man	KSČM	19460727	poslanec_ladislav_rymeš
Leopold Zubek		poslanec	poslanec leopold zubek	Man	ODS	19400804	poslanec_leopold_zubek
Libor Novák		poslanec	poslanec libor novák	Man	ODS	19580302	poslanec_libor_novák
Libor Novák		poslanec	poslanec libor novák (1958)	Man	ODS	19580302	poslanec_libor_novák_(1958)
Libor Novák		poslanec	poslanec libor novák (1958)	Man	ODS	19580302	poslanec_libor_novák_(1958)
Libor Novák		poslanec	poslanec libor novák (1962)	Man	ODS	19621206	poslanec_libor_novák_(1962)
Lubomír Voleník		prezident nejvyššího kontrolního úřadu	prezident nejvyššího kontrolního úřadu lubomír voleník	Man	ODS	19500301	prezident_nejvyššího_kontrolního_úřadu_lubomír_voleník
Lubomír Voleník		prezident nejvyššího kontrolního úřadu čr	prezident nejvyššího kontrolního úřadu čr lubomír voleník	Man	ODS	19500301	prezident_nejvyššího_kontrolního_úřadu_čr_lubomír_voleník
Lubomír Voleník		prezident nkú	prezident nkú lubomír voleník	Man	ODS	19500301	prezident_nkú_lubomír_voleník
Luboš Němec		poslanec	poslanec luboš němec	Man	ODS	19510309	poslanec_luboš_němec
Luboš Němec		poslanec psp	poslanec psp luboš němec	Man	ODS	19510309	poslanec_psp_luboš_němec
Ludvík Motyčka		poslanec	poslanec ludvík motyčka	Man	KDU-ČSL	19320707	poslanec_ludvík_motyčka
Luděk Rubáš		ministr zdravotnictví čr	ministr zdravotnictví čr luděk rubáš	Man	ODS	19530716	ministr_zdravotnictví_čr_luděk_rubáš
Luděk Rubáš		poslanec	poslanec luděk rubáš	Man	ODS	19530716	poslanec_luděk_rubáš
Marek Benda		poslanec	poslanec marek benda	Man	ODS	19681110	poslanec_marek_benda
Marie Stiborová		poslankyně	poslankyně marie stiborová	Woman	KSČM	19500202	poslankyně_marie_stiborová
Marta Hubová		poslankyně	poslankyně marta hubová	Woman	HSD-SMS	19451019	poslankyně_marta_hubová
Martin Chudoba		poslanec	poslanec martin chudoba	Man	KSČM	19690913	poslanec_martin_chudoba
Martin Přibáň		poslanec	poslanec martin přibáň	Man	ODS	19581128	poslanec_martin_přibáň
Martin Syka		poslanec	poslanec martin syka	Man	ODS	19490319	poslanec_martin_syka
Michal Kraus	Ing. Mgr. MBA Ph.D.	poslanec	poslanec michal kraus	Man	ČSSD	19571001	poslanec_michal_kraus
Michal Lobkowicz		poslanec	poslanec michal lobkowicz	Man	ODS	19641220	poslanec_michal_lobkowicz
Milada Kadlecová		poslankyně	poslankyně milada kadlecová	Woman	ODS	19401119	poslankyně_milada_kadlecová
Milan Loukota		poslanec	poslanec milan loukota	Man	SPR-RSČ	19600618	poslanec_milan_loukota
Milan Uhde		předseda psp	předseda psp milan uhde	Man	ODS	19360728	předseda_psp_milan_uhde
Milan Uhde		předseda psp	předseda psp milan uhde: i	Man	ODS	19360728	předseda_psp_milan_uhde:_i
Milena Kolářová		poslankyně	poslankyně milena kolářová	Woman	ODS	19600626	poslankyně_milena_kolářová
Miloslav Výborný	JUDr.	poslanec	poslanec miloslav výborný	Man	KDU-ČSL	19520101	poslanec_miloslav_výborný
Miloš Skočovský		poslanec	poslanec miloš skočovský	Man	HSD-SMS	19370531	poslanec_miloš_skočovský
Miroslav Kašpárek		poslanec	poslanec miroslav kašpárek	Man	SPR-RSČ	19400406	poslanec_miroslav_kašpárek
Miroslav Novotný		poslanec	poslanec miroslav novotný	Man	ODS	19470229	poslanec_miroslav_novotný
Miroslav Raška		poslanec	poslanec miroslav raška	Man	KSČM	19580513	poslanec_miroslav_raška
Miroslav Čapek		poslanec	poslanec miroslav čapek	Man	KSČM	19610920	poslanec_miroslav_čapek
Miroslav Čerbák		poslanec	poslanec miroslav čerbák	Man	ODA	19360223	poslanec_miroslav_čerbák
Miroslav Řezníček		poslanec	poslanec miroslav řezníček	Man	ČSSD	19420323	poslanec_miroslav_řezníček
Oldřich Kužílek		poslanec	poslanec oldřich kužílek	Man	ODA	19560104	poslanec_oldřich_kužílek
Oldřich Vrcha		poslanec	poslanec oldřich vrcha	Man	SPR-RSČ	19431229	poslanec_oldřich_vrcha
Oldřich Váca		poslanec	poslanec oldřich váca	Man	ODS	19521018	poslanec_oldřich_váca
Ondřej Zemina		poslanec	poslanec ondřej zemina	Man	ODS	19631013	poslanec_ondřej_zemina
Ota Fejfar		poslanec	poslanec ota fejfar	Man	ODS	19600605	poslanec_ota_fejfar
Otakar Vychodil		poslanec	poslanec otakar vychodil	Man	ODS	19510731	poslanec_otakar_vychodil
Pavel Hirš		poslanec	poslanec pavel hirš	Man	LSU	19420111	poslanec_pavel_hirš
Pavel Hussar		prezident nejvyššího kontrolního úřadu	prezident nejvyššího kontrolního úřadu pavel hussar	Man	NOPARTY	19450101	prezident_nejvyššího_kontrolního_úřadu_pavel_hussar
Pavel Hussar		prezident nejvyššího kontrolního úřadu čr	prezident nejvyššího kontrolního úřadu čr pavel hussar	Man	NOPARTY	19450101	prezident_nejvyššího_kontrolního_úřadu_čr_pavel_hussar
Pavel Hussar		předseda nejvyššího kontrolního úřadu	předseda nejvyššího kontrolního úřadu pavel hussar	Man	NOPARTY	19450101	předseda_nejvyššího_kontrolního_úřadu_pavel_hussar
Pavel Kolář		poslanec	poslanec pavel kolář	Man	ODS	19651121	poslanec_pavel_kolář
Pavel Kulička		poslanec	poslanec pavel kulička	Man	SPR-RSČ	19580516	poslanec_pavel_kulička
Pavel Petržílek		poslanec	poslanec pavel petržílek	Man	ČSSD	19391223	poslanec_pavel_petržílek
Pavel Pešek		poslanec	poslanec pavel pešek	Man	ODS	19640321	poslanec_pavel_pešek
Pavel Seifer		poslanec	poslanec pavel seifer	Man	LSU	19430911	poslanec_pavel_seifer
Pavel Severa	Bc.	poslanec	poslanec pavel severa	Man	KDU-ČSL	19650506	poslanec_pavel_severa
Pavel Tigrid		ministr kultury čr	ministr kultury čr pavel tigrid	Man	KDU-ČSL	19171027	ministr_kultury_čr_pavel_tigrid
Pavel Tollner		místopředseda psp	místopředseda psp pavel tollner	Man	KDU-ČSL	19490101	místopředseda_psp_pavel_tollner
Pavel Tollner		místopředseda psp	místopředseda psp pavel tollner: i	Man	KDU-ČSL	19490101	místopředseda_psp_pavel_tollner:_i
Pavel Tollner		místopředseda psp pavel	místopředseda psp pavel tollner: p	Man	KDU-ČSL	19490101	místopředseda_psp_pavel_tollner:_p
Pavel Tollner		poslanec	poslanec pavel tollner	Man	KDU-ČSL	19490101	poslanec_pavel_tollner
Pavel Tollner.		místopředseda psp	místopředseda psp pavel tollner.	Man	KDU-ČSL	19490101	místopředseda_psp_pavel_tollner.
Pavel Šafařík		poslanec	poslanec pavel šafařík	Man	KDU-ČSL	19530101	poslanec_pavel_šafařík
Petr Bachna		poslanec	poslanec petr bachna	Man	ODS	19480108	poslanec_petr_bachna
Petr Brodský		poslanec	poslanec petr brodský	Man	ODS	19440929	poslanec_petr_brodský
Petr Kavan		poslanec	poslanec petr kavan	Man	HSD-SMS	19430728	poslanec_petr_kavan
Petr Koháček		poslanec	poslanec petr koháček	Man	ODS	19510803	poslanec_petr_koháček
Petr Lom		ministr zdravotnictví čr	ministr zdravotnictví čr petr lom	Man	ODS	19350715	ministr_zdravotnictví_čr_petr_lom
Petr Lom		poslanec	poslanec petr lom	Man	ODS	19350715	poslanec_petr_lom
Petr Nečas	RNDr.	poslanec	poslanec petr nečas	Man	ODS	19641119	poslanec_petr_nečas
Petr Piťha	Mons. prof. PhDr. CSc. dr.h.c.	ministr školství mládeže a tělovýchovy čr	ministr školství mládeže a tělovýchovy čr petr piťha	Man	KDS	19380326	ministr_školství_mládeže_a_tělovýchovy_čr_petr_piťha
Petr Čermák		poslanec	poslanec petr čermák	Man	ODS	19530122	poslanec_petr_čermák
Petra Buzková		poslankyně	poslankyně petra buzková	Woman	ČSSD	19651207	poslankyně_petra_buzková
Radim Špaček		poslanec	poslanec radim špaček	Man	ODA	19591225	poslanec_radim_špaček
Richard Mandelík		poslanec	poslanec richard mandelík	Man	ODS	19530417	poslanec_richard_mandelík
Robert Dostál		poslanec	poslanec robert dostál	Man	ČSSD	19281004	poslanec_robert_dostál
Robert Kolář		poslanec	poslanec robert kolář	Man	ODS	19590515	poslanec_robert_kolář
Rudolf Opatřil		poslanec	poslanec rudolf opatřil	Man	HSD-SMS	19590815	poslanec_rudolf_opatřil
Stanislav Bělehrádek		ministr pro hospodářskou soutěž čr	ministr pro hospodářskou soutěž čr stanislav bělehrádek	Man	KDU-ČSL	19431210	ministr_pro_hospodářskou_soutěž_čr_stanislav_bělehrádek
Stanislav Gross		poslanec	poslanec stanislav gross	Man	ČSSD	19691030	poslanec_stanislav_gross
Stanislav Kozák		poslanec	poslanec stanislav kozák	Man	LSU	19500731	poslanec_stanislav_kozák
Stanislav Pěnička		poslanec	poslanec stanislav pěnička	Man	ODS	19391005	poslanec_stanislav_pěnička
Stanislav Volák		poslanec	poslanec stanislav volák	Man	ODS	19470930	poslanec_stanislav_volák
Stanislava Bumbová		poslankyně	poslankyně stanislava bumbová	Woman	KSČM	19480908	poslankyně_stanislava_bumbová
Svatomír Recman		poslanec	poslanec svatomír recman	Man	KSČM	19521229	poslanec_svatomír_recman
Tomáš Fejfar		poslanec	poslanec tomáš fejfar	Man	ODS	19510516	poslanec_tomáš_fejfar
Tomáš Ježek		poslanec	poslanec tomáš ježek	Man	ODA	19400315	poslanec_tomáš_ježek
Tomáš Páv		poslanec	poslanec tomáš páv	Man	ODS	19370922	poslanec_tomáš_páv
Tomáš Sojka		poslanec	poslanec tomáš sojka	Man	KSČM	19481115	poslanec_tomáš_sojka
Tomáš Svoboda		poslanec	poslanec tomáš svoboda	Man	KDS	19660520	poslanec_tomáš_svoboda
Tomáš Štěrba		poslanec	poslanec tomáš štěrba	Man	LSU	19461229	poslanec_tomáš_štěrba
Viktor Dobal		poslanec	poslanec viktor dobal	Man	ODA	19470311	poslanec_viktor_dobal
Vilém Holáň		ministr obrany	ministr obrany vilém holáň	Man	KDU-ČSL	19380923	ministr_obrany_vilém_holáň
Vilém Holáň		ministr obrany čr	ministr obrany čr vilém holáň	Man	KDU-ČSL	19380923	ministr_obrany_čr_vilém_holáň
Vladimír Budinský		ministr dopravy čr	ministr dopravy čr vladimír budinský	Man	ODS	19591125	ministr_dopravy_čr_vladimír_budinský
Vladimír Budinský		poslanec	poslanec vladimír budinský	Man	ODS	19591125	poslanec_vladimír_budinský
