name	titles	function	steno_name	sex	party	birthdate	web_page
Alfred Frommer		poslanec	poslanec alfred frommer	Man	LSU	19430807	poslanec_alfred_frommer
Andrej Gjurič	PhDr.	poslanec	poslanec andrej gjurič	Man	ODS	19381129	poslanec_andrej_gjurič
Anna Röschová		poslankyně	poslankyně anna röschová	Woman	US	19450526	poslankyně_anna_röschová
Anna Röschová		poslankyně	poslankyně anna röschová: posledním	Woman	US	19450526	poslankyně_anna_röschová:_posledním
Anna Röschová.		poslankyně	poslankyně anna röschová.	Woman	US	19450526	poslankyně_anna_röschová.
Anna Váchalová		poslankyně	poslankyně anna váchalová	Woman	KSČM	19320113	poslankyně_anna_váchalová
Anton Zima		poslanec	poslanec anton zima	Man	US	19461007	poslanec_anton_zima
Antonín Baudyš		ministr obrany čr	ministr obrany čr antonín baudyš	Man	KDU-ČSL	19460909	ministr_obrany_čr_antonín_baudyš
Antonín Hrazdíra		poslanec	poslanec antonín hrazdíra	Man	KSČM	19400703	poslanec_antonín_hrazdíra
Antonín Sochor		poslanec	poslanec antonín sochor	Man	ODS	10420301	poslanec_antonín_sochor
Bohuslav Kuba		poslanec	poslanec bohuslav kuba	Man	SPR-RSČ	19520818	poslanec_bohuslav_kuba
Dalibor Matulka		poslanec	poslanec dalibor matulka	Man	KSČM	19530101	poslanec_dalibor_matulka
Dalibor Štambera		poslanec	poslanec dalibor štambera	Man	HSD-SMS	19600501	poslanec_dalibor_štambera
Eduard Bureš	MUDr.	poslanec	poslanec eduard bureš	Man	ODS	19420224	poslanec_eduard_bureš
Eduard Zeman		poslanec	poslanec eduard zeman	Man	ČSSD	19480411	poslanec_eduard_zeman
Edvard Outrata		předseda českého statistického úřadu	předseda českého statistického úřadu edvard outrata	Man	NOPARTY	19360809	předseda_českého_statistického_úřadu_edvard_outrata
Emil Jaroš		poslanec	poslanec emil jaroš	Man	ODS	19431121	poslanec_emil_jaroš
Eva Fischerová		poslankyně	poslankyně eva fischerová	Woman	ČSSD	19350208	poslankyně_eva_fischerová
Eva Matoušková		poslankyně	poslankyně eva matoušková	Woman	SPR-RSČ	19511115	poslankyně_eva_matoušková
Eva Nováková		poslankyně	poslankyně eva nováková	Woman	KDU-ČSL	19380118	poslankyně_eva_nováková
František Benda		ministr životního prostředí	ministr životního prostředí františek benda	Man	ODS	19440807	ministr_životního_prostředí_františek_benda
František Benda		ministr životního prostředí čr	ministr životního prostředí čr františek benda	Man	ODS	19440807	ministr_životního_prostředí_čr_františek_benda
