name	titles	function	steno_name	sex	party	birthdate	web_page
Adam Rykala	Ing.	Poslanec	Poslanec Adam Rykala	Man	ČSSD	19860903	/sqw/detail.sqw?id=5960
Adolf Jílek	Ing.	Senátor	Senátor Adolf Jílek	Man	TOP09	19490319	/sqw/detail.sqw?id=5695
Alena Dernerová	MUDr.	Senátorka	Senátorka Alena Dernerová	Woman	NOPARTY	19580913	/sqw/detail.sqw?id=6042
Alena Gajdůšková 		senátorka	senátorka alena gajdůšková	Woman	ČSSD	19540415	/sqw/detail.sqw?id=54334
Alena Hanáková		Ministryně kultury ČR	Ministryně kultury ČR Alena Hanáková	Woman	TOP09	19580901	http://www.vlada.cz/cz/clenove-vlady/mgr--alena-hanakova-90683/
Alena Hanáková	Mgr.	Poslankyně	Poslankyně Alena Hanáková	Woman	TOP09	19580901	/sqw/detail.sqw?id=5916
Alexander Černý	RSDr.	Poslanec	Poslanec Alexander Černý	Man	KSČM	19530521	/sqw/detail.sqw?id=5307
Alexandr Vondra		Ministr obrany ČR	Ministr obrany ČR Alexandr Vondra	Man	ODS	19610817	http://www.vlada.cz/cz/clenove-vlady/rndr--alexandr-vondra-74214/
Aleš Roztočil	prof. CSc.	Poslanec	Poslanec Aleš Roztočil	Man	TOP09	19530510	/sqw/detail.sqw?id=5959
Aleš Rádl	Mgr.	Poslanec	Poslanec Aleš Rádl	Man	ODS	19660413	/sqw/detail.sqw?id=5495
Alfréd Michalík	Ing.	Poslanec	Poslanec Alfréd Michalík	Man	KSČM	19440825	/sqw/detail.sqw?id=5317
Anna Putnová	doc. RNDr. Ph.D. MBA	Poslankyně	Poslankyně Anna Putnová	Woman	TOP09	19600724	/sqw/detail.sqw?id=5957
Anna Šabatová	Mgr.	Paní	Paní Anna Šabatová	Woman	NOPARTY	19610623	/sqw/detail.sqw?id=5207
Antonín Seďa	Ing.	Poslanec	Poslanec Antonín Seďa	Man	ČSSD	19601212	/sqw/detail.sqw?id=5310
